RepRapFirmware height map file v2 generated at 2021-05-01 21:46, mean error -0.016, deviation 0.041
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
-120.00,120.10,-120.00,120.10,140.00,30.00,30.00,9,9
      0,      0, -0.056, -0.085, -0.063,  0.001,  0.069,      0,      0
      0,  0.028, -0.055, -0.045, -0.057, -0.050, -0.004,  0.097,      0
  0.044, -0.028, -0.057, -0.059, -0.025, -0.044,  0.011,  0.055,  0.111
  0.062,  0.027,  0.001, -0.043, -0.034, -0.039, -0.025, -0.024,  0.002
  0.043,  0.001, -0.009, -0.046, -0.049, -0.030, -0.020, -0.024, -0.017
 -0.000, -0.001,  0.027,  0.004, -0.024, -0.015, -0.049, -0.051, -0.081
 -0.078, -0.029, -0.034, -0.001, -0.018,  0.019, -0.013, -0.012, -0.048
      0, -0.090, -0.051, -0.020,  0.023,  0.006, -0.001, -0.048,      0
      0,      0, -0.069, -0.049, -0.012,  0.021,  0.052,      0,      0
